조사명,학교급,조사연도,주기,지역규모코드,지역규모,대분류코드,대분류,소주제코드,소주제,응답주체,indicator_id,지표명,통계유형,시계열비교가능,대표값,대표값유형,응답수,결측수,평균,표준편차,중앙값,백분위25,백분위75,환산100,구인환산100,상위2선지비율,긍정응답률,절사평균,지출자수,지출참여율,지출자평균,지출자중앙값,화면표시,발생건수합계,분모학생수합계,발생률산출학교수
경기학교교육실태조사,중학교,2025,2주기,2.0,읍면지역,C02,학업,S0201A,학습동기(외재적),학생,ST_MOTIV_04,"학습동기(1~4 외재적, 5~8 내재적) - 4)나는 선생님이 공부하라고 시키기 때문에 공부한다",likert,Y,23.57,환산100점,822,0,1.9428,1.046,2.0,1.0,3.0,23.57,23.57,9.85,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,1.0,중소도시,C02,학업,S0201B,학습동기(내재적),학생,ST_MOTIV_05,"학습동기(1~4 외재적, 5~8 내재적) - 5)나는 지식을 쌓는 것이 즐거우므로 공부한다",likert,Y,39.51,환산100점,6985,0,2.5804,1.1109,3.0,2.0,3.0,39.51,39.51,19.87,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,2.0,읍면지역,C02,학업,S0201B,학습동기(내재적),학생,ST_MOTIV_05,"학습동기(1~4 외재적, 5~8 내재적) - 5)나는 지식을 쌓는 것이 즐거우므로 공부한다",likert,Y,40.05,환산100점,1899,0,2.6019,1.1247,3.0,2.0,3.0,40.05,40.05,20.48,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,1.0,중소도시,C02,학업,S0201B,학습동기(내재적),학생,ST_MOTIV_05,"학습동기(1~4 외재적, 5~8 내재적) - 5)나는 지식을 쌓는 것이 즐거우므로 공부한다",likert,Y,40.8,환산100점,4351,0,2.6318,1.1127,3.0,2.0,3.0,40.8,40.8,20.13,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,2.0,읍면지역,C02,학업,S0201B,학습동기(내재적),학생,ST_MOTIV_05,"학습동기(1~4 외재적, 5~8 내재적) - 5)나는 지식을 쌓는 것이 즐거우므로 공부한다",likert,Y,38.5,환산100점,822,0,2.5401,1.0769,3.0,2.0,3.0,38.5,38.5,17.03,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,1.0,중소도시,C02,학업,S0201B,학습동기(내재적),학생,ST_MOTIV_06,"학습동기(1~4 외재적, 5~8 내재적) - 6)나는 공부하는 것이 재미있기 때문에 공부한다",likert,Y,33.39,환산100점,6985,0,2.3356,1.103,2.0,1.0,3.0,33.39,33.39,14.57,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,2.0,읍면지역,C02,학업,S0201B,학습동기(내재적),학생,ST_MOTIV_06,"학습동기(1~4 외재적, 5~8 내재적) - 6)나는 공부하는 것이 재미있기 때문에 공부한다",likert,Y,33.21,환산100점,1899,0,2.3286,1.1125,2.0,1.0,3.0,33.21,33.21,14.11,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,1.0,중소도시,C02,학업,S0201B,학습동기(내재적),학생,ST_MOTIV_06,"학습동기(1~4 외재적, 5~8 내재적) - 6)나는 공부하는 것이 재미있기 때문에 공부한다",likert,Y,34.93,환산100점,4351,0,2.3974,1.1181,2.0,1.0,3.0,34.93,34.93,15.28,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,2.0,읍면지역,C02,학업,S0201B,학습동기(내재적),학생,ST_MOTIV_06,"학습동기(1~4 외재적, 5~8 내재적) - 6)나는 공부하는 것이 재미있기 때문에 공부한다",likert,Y,32.79,환산100점,822,0,2.3114,1.0713,2.0,1.0,3.0,32.79,32.79,12.41,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,1.0,중소도시,C02,학업,S0201B,학습동기(내재적),학생,ST_MOTIV_07,"학습동기(1~4 외재적, 5~8 내재적) - 7)나는 어려운 도전들로부터 기쁨을 얻기 때문에 공부한다",likert,Y,38.09,환산100점,6985,0,2.5234,1.2065,2.0,1.0,3.0,38.09,38.09,22.42,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2021,1주기,2.0,읍면지역,C02,학업,S0201B,학습동기(내재적),학생,ST_MOTIV_07,"학습동기(1~4 외재적, 5~8 내재적) - 7)나는 어려운 도전들로부터 기쁨을 얻기 때문에 공부한다",likert,Y,37.59,환산100점,1899,0,2.5034,1.2134,2.0,1.0,3.0,37.59,37.59,21.85,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,1.0,중소도시,C02,학업,S0201B,학습동기(내재적),학생,ST_MOTIV_07,"학습동기(1~4 외재적, 5~8 내재적) - 7)나는 어려운 도전들로부터 기쁨을 얻기 때문에 공부한다",likert,Y,40.13,환산100점,4351,0,2.6051,1.1873,3.0,2.0,3.0,40.13,40.13,22.98,,,,,,,시계열,,,
경기학교교육실태조사,중학교,2025,2주기,2.0,읍면지역,C02,학업,S0201B,학습동기(내재적),학생,ST_MOTIV_07,"학습동기(1~4 외재적, 5~8 내재적) - 7)나는 어려운 도전들로부터 기쁨을 얻기 때문에 공부한다",likert,Y,38.78,환산100점,822,0,2.5511,1.1487,3.0,2.0,3.0,38.78,38.78,20.92,,,,,,,시계열,,,
