조사연도,응답주체,응답자ID,학교ID,indicator_id,값,결측보정,지역규모코드,분모학생수
2021,학부모,10071030,1007,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10071032,1007,PR_EDU_COST_01,20.0,,1.0,
2021,학부모,10071033,1007,PR_EDU_COST_01,1.0,,1.0,
2021,학부모,10071040,1007,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10071042,1007,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10071044,1007,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10071045,1007,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10071048,1007,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10071050,1007,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10071051,1007,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10071052,1007,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10071057,1007,PR_EDU_COST_01,0.0,,1.0,
2021,학부모,10071058,1007,PR_EDU_COST_01,1.0,,1.0,
2021,학부모,10081001,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081003,1008,PR_EDU_COST_01,10.0,,2.0,
2021,학부모,10081004,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081005,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081006,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081007,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081008,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081012,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081013,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081014,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081016,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081017,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081018,1008,PR_EDU_COST_01,3.0,,2.0,
2021,학부모,10081019,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081020,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081021,1008,PR_EDU_COST_01,1.0,,2.0,
2021,학부모,10081022,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081023,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081024,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081028,1008,PR_EDU_COST_01,0.0,,2.0,
2021,학부모,10081030,1008,PR_EDU_COST_01,0.0,,2.0,
