indicator_id,조사연도,코드,라벨
ST_ASPIRE_01,2021,3.0,4년제 대학 졸업
ST_ASPIRE_01,2021,4.0,대학원 석사 졸업
ST_ASPIRE_01,2021,5.0,대학원 박사 졸업
ST_ASPIRE_01,2021,6.0,잘 모르겠다
ST_ASPIRE_01,2025,1.0,고등학교 졸업
ST_ASPIRE_01,2025,2.0,2~3년제 대학 졸업
ST_ASPIRE_01,2025,3.0,4년제 대학 졸업
ST_ASPIRE_01,2025,4.0,대학원 석사 졸업
ST_ASPIRE_01,2025,5.0,대학원 박사 졸업
ST_ASPIRE_01,2025,6.0,잘 모르겠다
ST_CLASS_01,2021,1.0,전혀 그렇지 않다
ST_CLASS_01,2021,2.0,그렇지 않다
ST_CLASS_01,2021,3.0,보통이다
ST_CLASS_01,2021,4.0,그렇다
ST_CLASS_01,2021,5.0,매우 그렇다
ST_CLASS_01,2025,1.0,전혀그렇지않다
ST_CLASS_01,2025,2.0,그렇지않다
ST_CLASS_01,2025,3.0,보통이다
ST_CLASS_01,2025,4.0,그렇다
ST_CLASS_01,2025,5.0,매우그렇다
ST_CLASS_02,2021,1.0,전혀 그렇지 않다
ST_CLASS_02,2021,2.0,그렇지 않다
ST_CLASS_02,2021,3.0,보통이다
ST_CLASS_02,2021,4.0,그렇다
ST_CLASS_02,2021,5.0,매우 그렇다
ST_CLASS_02,2025,1.0,전혀그렇지않다
ST_CLASS_02,2025,2.0,그렇지않다
ST_CLASS_02,2025,3.0,보통이다
ST_CLASS_02,2025,4.0,그렇다
ST_CLASS_02,2025,5.0,매우그렇다
ST_CLASS_03,2021,1.0,전혀 그렇지 않다
ST_CLASS_03,2021,2.0,그렇지 않다
ST_CLASS_03,2021,3.0,보통이다
ST_CLASS_03,2021,4.0,그렇다
ST_CLASS_03,2021,5.0,매우 그렇다
ST_CLASS_03,2025,1.0,전혀그렇지않다
ST_CLASS_03,2025,2.0,그렇지않다
ST_CLASS_03,2025,3.0,보통이다
ST_CLASS_03,2025,4.0,그렇다
ST_CLASS_03,2025,5.0,매우그렇다
ST_CLASS_04,2021,1.0,전혀 그렇지 않다
ST_CLASS_04,2021,2.0,그렇지 않다
ST_CLASS_04,2021,3.0,보통이다
ST_CLASS_04,2021,4.0,그렇다
ST_CLASS_04,2021,5.0,매우 그렇다
ST_CLASS_04,2025,1.0,전혀그렇지않다
ST_CLASS_04,2025,2.0,그렇지않다
ST_CLASS_04,2025,3.0,보통이다
ST_CLASS_04,2025,4.0,그렇다
ST_CLASS_04,2025,5.0,매우그렇다
