조사연도,응답주체,응답자ID,학교ID,indicator_id,값,결측보정,지역규모코드
2025,학부모,10161670,1016,PR_EDU_COST_01,,,1.0
2025,학부모,10161671,1016,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10191683,1019,PR_EDU_COST_01,,,1.0
2025,학부모,10191686,1019,PR_EDU_COST_01,2.0,,1.0
2025,학부모,10191707,1019,PR_EDU_COST_01,15.0,,1.0
2025,학부모,10201721,1020,PR_EDU_COST_01,,,1.0
2025,학부모,10201741,1020,PR_EDU_COST_01,,,1.0
2025,학부모,10201744,1020,PR_EDU_COST_01,,,1.0
2025,학부모,10201745,1020,PR_EDU_COST_01,10.0,,1.0
2025,학부모,10201748,1020,PR_EDU_COST_01,,,1.0
2025,학부모,10201750,1020,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10201754,1020,PR_EDU_COST_01,10.0,,1.0
2025,학부모,10201755,1020,PR_EDU_COST_01,,,1.0
2025,학부모,10201756,1020,PR_EDU_COST_01,10.0,,1.0
2025,학부모,10201759,1020,PR_EDU_COST_01,4.0,,1.0
2025,학부모,10211762,1021,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10211763,1021,PR_EDU_COST_01,,,1.0
2025,학부모,10211764,1021,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10211765,1021,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10211766,1021,PR_EDU_COST_01,,,1.0
2025,학부모,10211767,1021,PR_EDU_COST_01,10.0,,1.0
2025,학부모,10211768,1021,PR_EDU_COST_01,,,1.0
2025,학부모,10211771,1021,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10211772,1021,PR_EDU_COST_01,,,1.0
2025,학부모,10211773,1021,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10211774,1021,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10211775,1021,PR_EDU_COST_01,4.0,,1.0
2025,학부모,10211776,1021,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10211779,1021,PR_EDU_COST_01,10.0,,1.0
2025,학부모,10211780,1021,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10211781,1021,PR_EDU_COST_01,20.0,,1.0
2025,학부모,10211782,1021,PR_EDU_COST_01,1.5,,1.0
2025,학부모,10211784,1021,PR_EDU_COST_01,2.0,,1.0
2025,학부모,10211785,1021,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10211786,1021,PR_EDU_COST_01,,,1.0
2025,학부모,10211789,1021,PR_EDU_COST_01,,,1.0
2025,학부모,10211790,1021,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10211791,1021,PR_EDU_COST_01,,,1.0
2025,학부모,10211792,1021,PR_EDU_COST_01,1.0,,1.0
2025,학부모,10211796,1021,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10211798,1021,PR_EDU_COST_01,,,1.0
2025,학부모,10211799,1021,PR_EDU_COST_01,5.0,,1.0
2025,학부모,10211800,1021,PR_EDU_COST_01,1.0,,1.0
