indicator_id,조사연도,주기,지역규모코드,지역규모,조사명,학교급,대분류코드,대분류,소주제코드,소주제,응답주체,지표명,통계유형,시계열비교가능,응답수,결측수,평균,표준편차,중앙값,백분위25,백분위75,지출자수,지출참여율,지출자평균,지출자중앙값,절사평균,환산100,상위2선지비율,긍정응답률
ST_STRATEGY_02,2025,2주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 2)배우는 내용을 어떻게 실생활에서 사용할 수 있을지 생각해 본다",likert,Y,4351,0,2.9595,1.1245,3.0,2.0,4.0,,,,,,48.99,32.54,
ST_STRATEGY_02,2025,2주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 2)배우는 내용을 어떻게 실생활에서 사용할 수 있을지 생각해 본다",likert,Y,822,0,2.9197,1.1388,3.0,2.0,4.0,,,,,,47.99,31.87,
ST_STRATEGY_03,2021,1주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 3)내가 이미 알고 있는 것과 연결시킬 때 공부가 더 잘 된다",likert,Y,6985,0,3.5801,1.1553,4.0,3.0,4.0,,,,,,64.5,60.69,
ST_STRATEGY_03,2021,1주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 3)내가 이미 알고 있는 것과 연결시킬 때 공부가 더 잘 된다",likert,Y,1899,0,3.5487,1.15,4.0,3.0,4.0,,,,,,63.72,58.82,
ST_STRATEGY_03,2025,2주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 3)내가 이미 알고 있는 것과 연결시킬 때 공부가 더 잘 된다",likert,Y,4351,0,3.5806,1.1073,4.0,3.0,4.0,,,,,,64.51,59.96,
ST_STRATEGY_03,2025,2주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 3)내가 이미 알고 있는 것과 연결시킬 때 공부가 더 잘 된다",likert,Y,822,0,3.5036,1.1781,4.0,3.0,4.0,,,,,,62.59,56.57,
ST_STRATEGY_04,2021,1주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 4)공부할 내용을 내가 이미 알고 있는 것과 어떻게 연결할지 생각해 본다",likert,Y,6985,0,3.0911,1.1344,3.0,2.0,4.0,,,,,,52.28,38.64,
ST_STRATEGY_04,2021,1주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 4)공부할 내용을 내가 이미 알고 있는 것과 어떻게 연결할지 생각해 본다",likert,Y,1899,0,3.06,1.1238,3.0,2.0,4.0,,,,,,51.5,36.44,
ST_STRATEGY_04,2025,2주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 4)공부할 내용을 내가 이미 알고 있는 것과 어떻게 연결할지 생각해 본다",likert,Y,4351,0,3.1432,1.0958,3.0,2.0,4.0,,,,,,53.58,38.66,
ST_STRATEGY_04,2025,2주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 4)공부할 내용을 내가 이미 알고 있는 것과 어떻게 연결할지 생각해 본다",likert,Y,822,0,3.0864,1.127,3.0,2.0,4.0,,,,,,52.16,37.35,
ST_STRATEGY_05,2021,1주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 5)수업 시간에 필기한 노트를 검토하고 중요한 내용을 요약 및 정리한다",likert,Y,6985,0,2.8905,1.2246,3.0,2.0,4.0,,,,,,47.26,32.13,
ST_STRATEGY_05,2021,1주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 5)수업 시간에 필기한 노트를 검토하고 중요한 내용을 요약 및 정리한다",likert,Y,1899,0,2.911,1.2206,3.0,2.0,4.0,,,,,,47.78,32.12,
ST_STRATEGY_05,2025,2주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 5)수업 시간에 필기한 노트를 검토하고 중요한 내용을 요약 및 정리한다",likert,Y,4351,0,3.006,1.1614,3.0,2.0,4.0,,,,,,50.15,34.27,
ST_STRATEGY_05,2025,2주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 5)수업 시간에 필기한 노트를 검토하고 중요한 내용을 요약 및 정리한다",likert,Y,822,0,2.9562,1.195,3.0,2.0,4.0,,,,,,48.91,34.31,
ST_STRATEGY_06,2021,1주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 6)공부한 내용은 내 방식대로 정리해 놓는다",likert,Y,6985,0,3.1943,1.2127,3.0,2.0,4.0,,,,,,54.86,44.28,
ST_STRATEGY_06,2021,1주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 6)공부한 내용은 내 방식대로 정리해 놓는다",likert,Y,1899,0,3.2143,1.2001,3.0,2.0,4.0,,,,,,55.36,45.55,
ST_STRATEGY_06,2025,2주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 6)공부한 내용은 내 방식대로 정리해 놓는다",likert,Y,4351,0,3.2524,1.1522,3.0,3.0,4.0,,,,,,56.31,45.37,
ST_STRATEGY_06,2025,2주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 6)공부한 내용은 내 방식대로 정리해 놓는다",likert,Y,822,0,3.2871,1.1826,3.0,3.0,4.0,,,,,,57.18,48.78,
ST_STRATEGY_07,2021,1주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 7)중요한 내용은 따로 정리한다",likert,Y,6985,0,3.2441,1.19,3.0,2.0,4.0,,,,,,56.1,45.97,
ST_STRATEGY_07,2021,1주기,2.0,읍면지역,경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 7)중요한 내용은 따로 정리한다",likert,Y,1899,0,3.2417,1.1825,3.0,2.0,4.0,,,,,,56.04,44.6,
ST_STRATEGY_07,2025,2주기,1.0,중소도시,경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 7)중요한 내용은 따로 정리한다",likert,Y,4351,0,3.3031,1.1299,3.0,3.0,4.0,,,,,,57.58,47.64,
