조사명,학교급,indicator_id,대분류코드,대분류,소주제코드,소주제,응답주체,지표명,조사연도,주기,코드,응답수,비율,선지라벨
경기학교교육실태조사,중학교,PR_CAREER_11,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 2)학교 진로담당교사와 상담(전화 상담 및 비대면 상담 포함),2025,2주기,3.0,87,25.51,보통이다
경기학교교육실태조사,중학교,PR_CAREER_11,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 2)학교 진로담당교사와 상담(전화 상담 및 비대면 상담 포함),2025,2주기,4.0,153,44.87,도움된다
경기학교교육실태조사,중학교,PR_CAREER_11,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 2)학교 진로담당교사와 상담(전화 상담 및 비대면 상담 포함),2025,2주기,5.0,89,26.1,매우도움된다
경기학교교육실태조사,중학교,PR_CAREER_12,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 3)학교 교과담당교사와 상담(전화 상담 및 비대면 상담 포함),2021,1주기,1.0,16,2.45,전혀 도움 되지 않는다
경기학교교육실태조사,중학교,PR_CAREER_12,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 3)학교 교과담당교사와 상담(전화 상담 및 비대면 상담 포함),2021,1주기,2.0,58,8.9,도움 되지 않는다
경기학교교육실태조사,중학교,PR_CAREER_12,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 3)학교 교과담당교사와 상담(전화 상담 및 비대면 상담 포함),2021,1주기,3.0,260,39.88,보통이다
경기학교교육실태조사,중학교,PR_CAREER_12,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 3)학교 교과담당교사와 상담(전화 상담 및 비대면 상담 포함),2021,1주기,4.0,264,40.49,도움 된다
경기학교교육실태조사,중학교,PR_CAREER_12,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 3)학교 교과담당교사와 상담(전화 상담 및 비대면 상담 포함),2021,1주기,5.0,54,8.28,매우 도움 된다
경기학교교육실태조사,중학교,PR_CAREER_12,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 3)학교 교과담당교사와 상담(전화 상담 및 비대면 상담 포함),2025,2주기,1.0,4,1.4,전혀도움 되지않는다
경기학교교육실태조사,중학교,PR_CAREER_12,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 3)학교 교과담당교사와 상담(전화 상담 및 비대면 상담 포함),2025,2주기,2.0,5,1.75,도움 되지않는다
경기학교교육실태조사,중학교,PR_CAREER_12,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 3)학교 교과담당교사와 상담(전화 상담 및 비대면 상담 포함),2025,2주기,3.0,66,23.16,보통이다
경기학교교육실태조사,중학교,PR_CAREER_12,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 3)학교 교과담당교사와 상담(전화 상담 및 비대면 상담 포함),2025,2주기,4.0,138,48.42,도움된다
경기학교교육실태조사,중학교,PR_CAREER_12,C10,진로·진학,S1002,진로·진학 준비,학부모,진로·진학 준비 경험 및 인식 - 3)학교 교과담당교사와 상담(전화 상담 및 비대면 상담 포함),2025,2주기,5.0,72,25.26,매우도움된다
경기학교교육실태조사,중학교,PR_CAREER_13,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 4)사교육종사자(학원강사, 과외교사, 입시진로 컨설팅 회사 등)와 상담",2021,1주기,1.0,36,0.95,전혀 도움 되지 않는다
경기학교교육실태조사,중학교,PR_CAREER_13,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 4)사교육종사자(학원강사, 과외교사, 입시진로 컨설팅 회사 등)와 상담",2021,1주기,2.0,256,6.73,도움 되지 않는다
경기학교교육실태조사,중학교,PR_CAREER_13,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 4)사교육종사자(학원강사, 과외교사, 입시진로 컨설팅 회사 등)와 상담",2021,1주기,3.0,1670,43.92,보통이다
경기학교교육실태조사,중학교,PR_CAREER_13,C10,진로·진학,S1002,진로·진학 준비,학부모,"진로·진학 준비 경험 및 인식 - 4)사교육종사자(학원강사, 과외교사, 입시진로 컨설팅 회사 등)와 상담",2021,1주기,4.0,1622,42.66,도움 된다
