조사연도,학교키,지역규모코드,설립구분코드,남녀공학코드,지역규모,설립구분,남녀공학,학생응답,학부모응답,교사응답
2021,SCH163,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH091,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH005,1.0,2.0,2.0,중소도시,사립,여학교,Y,Y,Y
2021,SCH071,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH044,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH125,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH105,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH176,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH021,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH095,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH148,1.0,1.0,2.0,중소도시,공립,여학교,Y,Y,Y
2021,SCH135,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH084,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH039,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH175,2.0,2.0,3.0,읍면지역,사립,남여공학,Y,Y,Y
2021,SCH133,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH158,1.0,1.0,2.0,중소도시,공립,여학교,Y,Y,Y
2021,SCH142,2.0,2.0,3.0,읍면지역,사립,남여공학,Y,Y,Y
2021,SCH001,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH118,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH086,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH140,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH132,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH048,1.0,2.0,3.0,중소도시,사립,남여공학,Y,Y,Y
2021,SCH160,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH149,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH141,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH045,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH068,1.0,1.0,3.0,중소도시,공립,남여공학,Y,Y,Y
2021,SCH035,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
2021,SCH069,2.0,1.0,3.0,읍면지역,공립,남여공학,Y,Y,Y
